,cluster
certain_Exp,-1
volume_Exp,-1
oublions_Exp,-1
chers_Exp_collègues_Exp,0
selon_Exp,0
responsabilité_Exp,0
cette_Exp_mesure_Exp,0
devra_Exp_être_Exp,0
financée_Exp_impôt_Exp,-1
dès_Exp_lors_Exp,0
faire_Exp,0
lois_Exp_bavardes_Exp,-1
élu_Exp,0
vaucluse_Exp,-1
circonscription_Exp,0
semi_Exp,-1
rurale_Exp,-1
urbaine_Exp,-1
autres_Exp,0
tout_Exp,0
particulièrement_Exp_attaché_Exp,-1
approche_Exp_territoriale_Exp,-1
agence_Exp_nationale_Exp,25
porte_Exp,0
concrètement_Exp,0
ambition_Exp,0
service_Exp,0
territoires_Exp,0
indéniablement_Exp,-1
doter_Exp,0
comités_Exp_locaux_Exp,-1
ceux_Exp_ci_Exp,0
tous_Exp_acteurs_Exp,0
publics_Exp,-1
privés_Exp,-1
réunir_Exp,-1
régulièrement_Exp,0
dialoguer_Exp,-1
fondant_Exp,-1
lesdits_Exp,-1
comités_Exp,-1
suivi_Exp,-1
mesure_Exp,0
dossiers_Exp,26
respectueux_Exp,-1
toutes_Exp,0
particularités_Exp,27
territoriales_Exp,-1
rendu_Exp_possible_Exp,-1
aborder_Exp,0
toutes_Exp_parties_Exp,-1
prenantes_Exp,-1
compétentes_Exp,-1
ensemble_Exp,0
relatives_Exp,0
développement_Exp,0
pense_Exp_notamment_Exp,0
enjeux_Exp,0
désertification_Exp_médicale_Exp,28
autant_Exp,0
urgences_Exp,0
sociétales_Exp,-1
auxquelles_Exp,0
devons_Exp,0
rapidement_Exp,24
répondre_Exp,0
solutions_Exp,-1
territorialement_Exp,-1
adaptées_Exp,-1
effectives_Exp,-1
exception_Exp,-1
points_Exp_vigilance_Exp,-1
lesquels_Exp,0
espère_Exp_pourrons_Exp,-1
avancer_Exp,0
vers_Exp,-1
améliorations_Exp,0
émets_Exp_avis_Exp,0
favorable_Exp_adoption_Exp,-1
crédits_Exp,0
après_Exp_avoir_Exp,0
perdu_Exp,-1
première_Exp_fois_Exp,-1
couvrira_Exp,-1
dépenses_Exp_personnel_Exp,-1
pourtant_Exp,0
important_Exp,0
infrastructures_Exp,-1
ingénierie_Exp_publique_Exp,-1
compte_Exp_tenu_Exp,0
laquelle_Exp,0
trouve_Exp,0
intolérable_Exp,-1
utile_Exp,0
permet_Exp_identifier_Exp,-1
bons_Exp,-1
leviers_Exp_permettant_Exp,-1
inciter_Exp,0
accompagner_Exp,0
changements_Exp,29
mode_Exp_vie_Exp,-1
consommation_Exp,-1
faire_Exp_évoluer_Exp,0
habitudes_Exp_alimentaires_Exp,-1
décisions_Exp,0
installer_Exp,-1
centre_Exp_ville_Exp,-1
plutôt_Exp,0
périphérie_Exp,-1
vrai_Exp,0
textes_Exp_européens_Exp,-1
reprennent_Exp,-1
solution_Exp,0
adoptée_Exp,0
slovénie_Exp,-1
premier_Exp,0
union_Exp_européenne_Exp,0
inscrire_Exp_constitution_Exp,-1
eau_Exp_potable_Exp,20
privatisée_Exp,-1
texte_Exp,0
dispose_Exp,-1
notamment_Exp,0
approvisionnement_Exp_eau_Exp,-1
via_Exp,0
collectivités_Exp_locales_Exp,0
directement_Exp,-1
façon_Exp,0
non_Exp_lucrative_Exp,-1
ressources_Exp,0
destinées_Exp,-1
premier_Exp_lieu_Exp,0
assurer_Exp_approvisionnement_Exp,-1
durable_Exp,-1
titre_Exp,0
marchandise_Exp,-1
cette_Exp_disposition_Exp,0
demandé_Exp,0
reprendre_Exp,0
cet_Exp_hémicycle_Exp,0
recours_Exp,0
gestion_Exp,0
privée_Exp,-1
perçue_Exp_comme_Exp,-1
intrinsèquement_Exp,-1
mauvaise_Exp,0
cet_Exp_amendement_Exp,0
présente_Exp,6
nom_Exp,-1
obtention_Exp,-1
rapport_Exp_relatif_Exp,-1
besoins_Exp,30
personnels_Exp,0
agences_Exp,-1
rôle_Exp_majeur_Exp,-1
offices_Exp,-1
vu_Exp_confier_Exp,-1
nouvelles_Exp_missions_Exp,-1
cours_Exp_année_Exp,-1
nécessité_Exp,0
diminuer_Exp_effectifs_Exp,-1
indéniable_Exp,-1
convient_Exp_laisser_Exp,-1
temps_Exp,0
évaluer_Exp,31
nouvelles_Exp,0
formule_Exp,-1
demande_Exp_rapport_Exp,-1
favorable_Exp,0
auprès_Exp,-1
quant_Exp,0
quel_Exp_talent_Exp,-1
madame_Exp_présidente_Exp,0
soutien_Exp,0
scientifiques_Exp,-1
groupe_Exp_experts_Exp,32
intergouvernemental_Exp_évolution_Exp,32
recherches_Exp,-1
menacées_Exp,-1
financer_Exp,0
institution_Exp,-1
aussi_Exp,0
courageuse_Exp,-1
outre_Exp,0
dialogue_Exp_franc_Exp,-1
direct_Exp,-1
ouvert_Exp,-1
charbon_Exp,-1
énergie_Exp,-1
hautement_Exp,-1
polluante_Exp,-1
nocive_Exp,-1
affirmé_Exp,0
conventions_Exp_internationales_Exp,-1
ratifiées_Exp,-1
valeur_Exp,-1
hiérarchique_Exp,-1
supérieure_Exp_celle_Exp,-1
juillet_Exp,0
assemblée_Exp_générale_Exp,-1
nations_Exp_unies_Exp,33
adopté_Exp,0
résolution_Exp,0
intitulée_Exp,-1
homme_Exp,-1
eau_Exp_assainissement_Exp,-1
constate_Exp,34
importance_Exp_revêt_Exp,-1
accès_Exp_équitable_Exp,-1
assainissement_Exp,-1
fait_Exp_partie_Exp,-1
intégrante_Exp,-1
réalisation_Exp,-1
droits_Exp_humains_Exp,35
tout_Exp_abord_Exp,0
secours_Exp,-1
pays_Exp_sud_Exp,-1
abordés_Exp,-1
allemagne_Exp,0
deux_Exp,0
moteurs_Exp,-1
construction_Exp_européenne_Exp,-1
seuls_Exp,0
pays_Exp_européens_Exp,-1
dépêché_Exp,-1
chef_Exp_exécutif_Exp,-1
bonn_Exp,-1
nicolas_Exp_hulot_Exp,-1
associe_Exp_collègue_Exp,13
yolaine_Exp_courson_Exp,-1
dix_Exp_jours_Exp,-1
discussions_Exp,0
techniques_Exp,-1
conférence_Exp_parties_Exp,-1
convention_Exp,-1
changements_Exp_climatiques_Exp,-1
finalement_Exp,0
entrée_Exp,-1
phase_Exp,-1
venue_Exp,-1
trentaine_Exp,-1
chefs_Exp,-1
président_Exp_république_Exp,0
emmanuel_Exp_macron_Exp,0
nombreux_Exp_sujets_Exp,-1
exposés_Exp,-1
fortes_Exp,0
annonces_Exp_faites_Exp,-1
comment_Exp_comptez_Exp,-1
articuler_Exp,-1
propositions_Exp_formulées_Exp,-1
nature_Exp_législative_Exp,-1
débat_Exp_parlementaire_Exp,0
gérer_Exp,-1
conflit_Exp,-1
légitimité_Exp,-1
pourrait_Exp_résulter_Exp,-1
tiens_Exp_rappeler_Exp,-1
tonnes_Exp,-1
an_Exp,0
vingt_Exp,0
fois_Exp,0
département_Exp_vaucluse_Exp,-1
fournit_Exp,-1
production_Exp,15
nationale_Exp,-1
signal_Exp_envoyé_Exp,-1
bon_Exp,0
colère_Exp,36
découragent_Exp,-1
face_Exp,0
libéralisation_Exp_échanges_Exp,-1
subissent_Exp,8
aimerais_Exp_savoir_Exp,-1
comptez_Exp_faire_Exp,-1
afin_Exp_protéger_Exp,-1
toute_Exp,0
urgence_Exp,-1
économie_Exp,0
agricole_Exp,-1
consommateurs_Exp,0
vise_Exp_renforcer_Exp,-1
efficience_Exp,-1
système_Exp,0
alternance_Exp,-1
évitant_Exp,-1
multiplication_Exp,-1
intermédiaires_Exp,-1
peut_Exp_être_Exp,0
source_Exp,-1
erreurs_Exp,37
augmente_Exp,0
délai_Exp,38
mise_Exp_disposition_Exp,-1
fonds_Exp_alternance_Exp,-1
bénéfice_Exp,39
entreprises_Exp,0
jeunes_Exp,0
participe_Exp,40
simplification_Exp,-1
circuits_Exp_financement_Exp,-1
formation_Exp_professionnelle_Exp,0
esprit_Exp,0
accessibilité_Exp,-1
site_Exp,-1
titres_Exp_sécurisés_Exp,41
ants_Exp,41
difficile_Exp,0
heures_Exp,0
voire_Exp,0
totalement_Exp_impossible_Exp,-1
pendant_Exp_toute_Exp,-1
journée_Exp,42
raison_Exp,0
répond_Exp,0
durée_Exp,0
attente_Exp,-1
maintenance_Exp,-1
téléphonique_Exp,-1
peut_Exp,0
atteindre_Exp,43
plusieurs_Exp_dizaines_Exp,-1
minutes_Exp,0
sans_Exp_parvienne_Exp,-1
obtenir_Exp,0
interlocuteur_Exp,-1
appel_Exp,-1
facturé_Exp,-1
lorsque_Exp,0
finissez_Exp,-1
réussir_Exp,-1
échanger_Exp,-1
agent_Exp,-1
renvoie_Exp,-1
cellule_Exp,-1
web_Exp,-1
mail_Exp,-1
délai_Exp_traitement_Exp,-1
quinze_Exp_jours_Exp,0
heure_Exp_où_Exp,0
agriculteurs_Exp,0
toujours_Exp,0
usage_Exp_produits_Exp,-1
phytosanitaires_Exp,-1
bulletin_Exp,-1
santé_Exp_végétal_Exp,-1
outil_Exp_essentiel_Exp,-1
permet_Exp,0
quotidien_Exp,0
traiter_Exp,0
cultures_Exp,-1
près_Exp_réalités_Exp,-1
biologiques_Exp,-1
diminuer_Exp,0
quantité_Exp,-1
produits_Exp_phytosanitaires_Exp,44
utilisés_Exp,-1
contribution_Exp,45
versée_Exp_directement_Exp,-1
urssaf_Exp,-1
opérateurs_Exp_compétences_Exp,-1
financent_Exp,-1
contrats_Exp_alternance_Exp,-1
transiter_Exp,-1
compétences_Exp,0
apporterait_Exp,-1
aucune_Exp,0
valeur_Exp_ajoutée_Exp,-1
chère_Exp_collègue_Exp,0
parlez_Exp,-1
malhonnêteté_Exp_intellectuelle_Exp,-1
discours_Exp,0
là_Exp,0
regarder_Exp,-1
petit_Exp_bout_Exp,46
lorgnette_Exp,46
dire_Exp,0
interdisons_Exp,-1
emballages_Exp_plastique_Exp,-1
horizon_Exp,-1
prenons_Exp,0
commenceront_Exp,-1
entrer_Exp_vigueur_Exp,-1
dès_Exp_promulgation_Exp,-1
grande_Exp_différence_Exp,-1
prônons_Exp,-1
action_Exp,0
économique_Exp,0
envisageons_Exp,-1
conséquences_Exp,0
adoptons_Exp,-1
votons_Exp,-1
manière_Exp,0
irréfléchie_Exp,-1
économie_Exp_circulaire_Exp,-1
conséquent_Exp,0
vise_Exp_limiter_Exp,-1
réduction_Exp,0
masse_Exp_salariale_Exp,-1
environ_Exp_million_Exp,-1
proposé_Exp,0
transférer_Exp_millions_Exp,47
conduite_Exp_pilotage_Exp,-1
écologie_Exp_développement_Exp,48
mobilité_Exp_durables_Exp,48
dédiée_Exp,-1
versée_Exp,-1
exemple_Exp_illustre_Exp,-1
cette_Exp_proposition_Exp,0
mélange_Exp,-1
coût_Exp,0
consommateur_Exp,0
bas_Exp,-1
possible_Exp,0
celle_Exp,0
mode_Exp_gestion_Exp,-1
totalement_Exp_indépendant_Exp,-1
prix_Exp,0
droit_Exp_européen_Exp,-1
citer_Exp,0
principaux_Exp,-1
parlement_Exp_européen_Exp,-1
conseil_Exp,-1
établissant_Exp,-1
communautaire_Exp,-1
domaine_Exp,0
octobre_Exp,0
coller_Exp,-1
sortir_Exp,0
rapidement_Exp_possible_Exp,24
amendement_Exp_vise_Exp,0
remise_Exp,-1
six_Exp_mois_Exp,0
suivant_Exp_promulgation_Exp,-1
rapport_Exp_évaluation_Exp,-1
financement_Exp,0
dispositif_Exp,0
établissement_Exp_spécialisé_Exp,-1
ingénierie_Exp,-1
traite_Exp_sujets_Exp,-1
aussi_Exp_variés_Exp,-1
risques_Exp_submersion_Exp,-1
continentale_Exp,-1
littoraux_Exp,-1
liste_Exp,-1
exhaustive_Exp,-1
confronté_Exp,0
double_Exp_peine_Exp,-1
vexés_Exp,-1
lumière_Exp_explications_Exp,-1
apportées_Exp,-1
amendements_Exp,0
rapports_Exp,-1
concernant_Exp,0
différents_Exp,0
retire_Exp_amendement_Exp,49
défendu_Exp,0
viens_Exp,-1
expertise_Exp,-1
économie_Exp_sociale_Exp,-1
solidaire_Exp,-1
information_Exp_géographique_Exp,50
météorologie_Exp,50
programme_Exp_doté_Exp,-1
contre_Exp,0
crédits_Exp_paiements_Exp,-1
légère_Exp_diminution_Exp,-1
depuis_Exp,0
regroupe_Exp,-1
subventions_Exp_charges_Exp,-1
moyens_Exp_affectés_Exp,-1
commissariat_Exp_général_Exp,-1
parmi_Exp,0
activités_Exp_économiques_Exp,-1
mises_Exp_mal_Exp,-1
connues_Exp,-1
moniteurs_Exp,-1
guides_Exp,-1
pêche_Exp,-1
essentielle_Exp,0
plages_Exp,-1
vont_Exp,0
pouvoir_Exp,0
redevenir_Exp,-1
accessibles_Exp,-1
annoncé_Exp_hier_Exp,-1
ministre_Exp_intérieur_Exp,0
venir_Exp_aide_Exp,-1
maires_Exp,0
désireux_Exp,-1
activités_Exp_périscolaires_Exp,-1
proposons_Exp_donc_Exp,0
activité_Exp,0
autorisée_Exp,-1
prends_Exp_bonne_Exp,-1
note_Exp,-1
améliorations_Exp_apportées_Exp,-1
ministère_Exp,-1
resterai_Exp,-1
vigilant_Exp,-1
remercie_Exp,0
considérons_Exp,0
champ_Exp_lexical_Exp,-1
contraindre_Exp,-1
forcer_Exp,-1
interdire_Exp,0
quelle_Exp,0
part_Exp,0
laissée_Exp,-1
négociation_Exp,0
souhaitez_Exp,0
prendre_Exp,0
majorité_Exp,0
contraire_Exp,0
pris_Exp_décision_Exp,-1
discuter_Exp_négocier_Exp,-1
ensemble_Exp_acteurs_Exp,0
venez_Exp,0
donner_Exp,0
grandes_Exp,0
leçons_Exp_morale_Exp,-1
mêmes_Exp,0
incapable_Exp,0
suivre_Exp,0
défendrai_Exp_temps_Exp,13
objet_Exp,0
nouvelle_Exp,0
tarification_Exp,-1
urgence_Exp_climatique_Exp,-1
date_Exp,51
ni_Exp,0
affaires_Exp,-1
dû_Exp,0
responsabilités_Exp,0
maintenant_Exp,0
reproches_Exp,-1
faisons_Exp,0
adopter_Exp,0
répondent_Exp_attentes_Exp,-1
bravo_Exp,-1
dénombre_Exp,-1
nombreux_Exp_problèmes_Exp,-1
validation_Exp,-1
demandes_Exp,-1
ligne_Exp,-1
précisée_Exp,-1
mis_Exp,0
message_Exp,52
laconique_Exp,-1
divergence_Exp_entre_Exp,-1
portail_Exp,-1
données_Exp,9
saisies_Exp,-1
oblige_Exp,0
appeler_Exp,-1
agence_Exp,25
également_Exp_noter_Exp,-1
impossibilité_Exp,-1
récurrente_Exp,-1
valider_Exp,-1
